"Topic","Context","Note","","","","","","","","","","","","","","","","","","","","","","",""
"Tên trường","Trường Đại Học Quản Lý và Công Nghệ Thành Phố Hồ Chí Minh (UMT)","","","","","","","","","","","","","","","","","","","","","","","",""
"Năm thành lập ","Tháng 3/2021","","","","","","","","","","","","","","","","","","","","","","","",""
"Địa chỉ","Đ. 60 - CL, Cát Lái, Thủ Đức, Hồ Chí Minh","https://www.google.com/maps/place/UMT+Tr%C6%B0%E1%BB%9Dng+%C4%90%E1%BA%A1i+h%E1%BB%8Dc+Qu%E1%BA%A3n+l%C3%BD+v%C3%A0+C%C3%B4ng+ngh%E1%BB%87+TP.HCM/@10.7738027,106.7952492,17z/data=!3m1!4b1!4m6!3m5!1s0x317525932e886a3d:0x7d4eb75fb25585a0!8m2!3d10.7738027!4d106.7978241!16s%2Fg%2F11glf94x8x?hl=vi-VN&entry=ttu","","","","","","","","","","","","","","","","","","","","","","",""
"Hotline","028 3535 9119 ","","","","","","","","","","","","","","","","","","","","","","","",""
"Email","tuyensinh@umt.edu.vn","","","","","","","","","","","","","","","","","","","","","","","",""
"Facebook","UMT - Trường Đại học Quản lý và Công nghệ TP.HCM","https://www.facebook.com/UMTUniversity","","","","","","","","","","","","","","","","","","","","","","",""
"Website","Trường Đại học Quản lý và Công nghệ TP.HCM","https://www.umt.edu.vn/vi-vn/","","","","","","","","","","","","","","","","","","","","","","",""
"Diện tích","Với diện tích 80.000 m2, được quy hoạch bài bản và đồng bộ, đầu tư cơ sở vật chất hiện đại, 
thiết kế và xây dựng theo mô hình các trường đại học danh tiếng thế giới, đầy đủ các khu vực 
chức năng như: Viện Nghiên cứu Sáng tạo, giảng đường hiện đại, thư viện số, Studio, phòng Lab, 
phòng nghiên cứu thực nghiệp...","","","","","","","","","","","","","","","","","","","","","","","",""
"Chiến lược phát triển","Ngôi Trường của Hạnh Phúc và Thành Công

Sinh ra cùng với thời đại công nghệ, dễ dàng tiếp cận thông tin từ rất nhiều nguồn khác nhau, Gen Z thật sự là thế hệ vàng,
thế hệ “chưa từng có” từ trước đến nay. Gen Z cá tính, độc đáo, đa nhiệm và mỗi cá nhân đều có màu sắc thú vị riêng. 
Không chỉ tự tin chọn hướng đi khác biệt để thể hiện bản sắc, các bạn còn sẵn sàng va chạm thử thách, khát khao tiến tới phía trước.

Hiểu được điều đó, tiêu chí quan trọng tiên quyết của UMT là đặt sinh viên lên hàng đầu, vượt ra khỏi giới hạn của giảng đường hay 
những thành công chỉ đo bằng điểm số, đáp ứng hầu hết mọi mong muốn chọn trường đại học của thế hệ trẻ: môi trường giáo dục cởi mở, 
kết nối toàn cầu, thực tế năng động, trải nghiệm thú vị, cơ sở vật chất hiện đại, cơ hội nghề nghiệp rộng mở…

Với tinh thần giáo dục khai phóng, hệ sinh thái hợp tác quốc tế và doanh nghiệp toàn diện, UMT hướng đến xây dựng một ngôi trường đại học 
thành công và hạnh phúc, nơi mọi sinh viên đều được phát triển tiềm năng tối đa để tự do lựa chọn định hướng cho bản thân, linh động làm được
 nhiều ngành nghề trong môi trường đa văn hóa, sẵn sàng thích ứng với mọi biến động trong thế giới số 4.0, tự tin trở thành công dân toàn cầu, 
kiến tạo tương lai và đóng góp cho cộng đồng.

Đến với UMT, các bạn sẽ được trải nghiệm khoảng thời gian 4 năm đầy vui vẻ, ý nghĩa và hạnh phúc.","","","","","","","","","","","","","","","","","","","","","","","",""
"Hiệu trưởng","Tiến sĩ Huỳnh Bá Lân, Hiệu trưởng Trường ĐH Quản lý và công nghệ TP. HCM","","","","","","","","","","","","","","","","","","","","","","","",""
"Phương thức xét tuyển","Phương thức 1 (Mã PT - 100): Xét tuyển trên kết quả Kỳ thi tốt nghiệp Trung học phổ thông (THPT) 2024","","","","","","","","","","","","","","","","","","","","","","","",""
"","Phương thức 2 (Mã PT - 200): Xét kết quả học tập THPT (học bạ)","","","","","","","","","","","","","","","","","","","","","","","",""
"","Phương thức 3 (Mã PT - 303): Xét tuyển thẳng theo quy định của UMT","","","","","","","","","","","","","","","","","","","","","","","",""
"","Phương thức 4 (Mã PT - 402): Xét tuyển dựa trên kết quả kỳ thi Đánh giá năng lực của ĐHQG TP.HCM năm 2024","","","","","","","","","","","","","","","","","","","","","","","",""
"","Phương thức 5 (Mã PT - 301): Xét tuyển thẳng theo quy định của Bộ GD&ĐT","","","","","","","","","","","","","","","","","","","","","","","",""
